"","Order","Count_Sites","Unique_Sites","Unique_Species"
"1","Hymenoptera",176639,4379,4896
"2","Coleoptera",390020,2638,6190
"3","Lepidoptera",167464,1846,3908
"4","Hemiptera",49119,1006,1458
"5","Diptera",27157,877,1549
