"","df","AIC"
"sm0$model",4,64367.0182778846
"sm1$model",11,64098.5594084972
"sm2$model",13,64095.57916376
"sm3$model",7,64132.7111329932
"sm4$model",27,64047.9919343673
"sm0.2$model",8,62352.7541707395
"sm1.2$model",15,62083.9952561959
"sm2.2$model",17,62080.9007890759
"sm3.2$model",11,62118.3162473358
"sm4.2$model",31,62033.0961634544
"sm1.3$model",43,56471.0802767192
"sm2.3$model",45,56450.4022128146
"sm3.3$model",23,59449.2829825465
"sm4.3$model",117,54290.8333324333
