"","df","AIC"
"g_sm0",4,64367.018277892
"g_sm1",11,64098.5594090456
"g_sm2",13,64095.57916391
"g_sm3",7,64132.7111330324
"g_sm4",27,64047.9927347245
"g_sm0.2",8,62352.7541707945
"g_sm1.2",15,62083.9953526704
"g_sm2.2",17,62080.9008042006
"g_sm3.2",11,62118.3162473573
"g_sm4.2",31,62033.0967279848
"g_sm1.3",43,56471.0804211079
"g_sm2.3",45,56450.4027171114
"g_sm3.3",23,59449.283345379
"g_sm4.3",117,54290.8344174046
