"","df","AIC"
"am0$model",4,30340.7979695387
"am1$model",11,30252.6985008965
"am2$model",13,30253.9416491436
"am3$model",7,30263.0966389187
"am4$model",27,30256.7452664406
"am0.2$model",8,29766.4808184078
"am1.2$model",15,29669.3926754709
"am2.2$model",17,29670.5295890172
"am3.2$model",11,29682.1679685418
"am4.2$model",31,29671.3544858658
"am1.3$model",43,29050.2548067351
"am2.3$model",45,29048.2891521272
"am3.3$model",23,29452.2989961887
"am4.3$model",116,28450.0508080403
