"","df","AIC"
"sm0_trop$model",4,16651.1299579747
"sm3_trop$model",7,16481.8052882701
"sm0.2_trop$model",6,15275.4149461263
"sm3.2_trop$model",9,15106.7832958091
"sm3.3_trop$model",15,14903.6186906383
"sm0_nontrop$model",4,36640.7954055027
"sm3_nontrop$model",7,36604.2592938802
"sm0.2_nontrop$model",6,35130.8932486222
"sm3.2_nontrop$model",9,35094.2151867588
"sm3.3_nontrop$model",15,30634.8109315035
