"","df","AIC"
"am0_trop$model",4,8580.15783551235
"am3_trop$model",7,8520.13958161666
"am0.2_trop$model",6,8380.18933243828
"am3.2_trop$model",9,8312.50232882302
"am3.3_trop$model",15,8280.3150148802
"am0_nontrop$model",4,15853.9461910207
"am3_nontrop$model",7,15855.3535086228
"am0.2_nontrop$model",6,15488.633851411
"am3.2_nontrop$model",9,15490.1520738582
"am3.3_nontrop$model",15,15238.4386758058
